              s_cell [m];   flux_inc_ion [m-2.s-1];   flux_imp_ion [m-2.s-1];           E_imp_ion [eV];        alpha_V_ion [deg];  flux_inc_atom [m-2.s-1];  flux_imp_atom [m-2.s-1];          E_imp_atom [eV];       alpha_V_atom [deg];  net_energy_flux [W.m-2]
   1.022945823100557e+00;    2.623807747307799e+21;    8.300093959429727e+20;    1.115569566833831e+02;    5.802844856118484e+01;    2.196105177197066e+21;    4.584599568537462e+20;    6.602199848854237e+01;    4.442884412664296e+01;    4.546806613735381e+04
   1.024776791209809e+00;    2.117528623742669e+21;    5.574516861447491e+20;    1.084886002734106e+02;    5.778716700879082e+01;    2.342294177436916e+21;    6.197491677419196e+20;    7.604246901998114e+01;    4.445874075889515e+01;    5.595230100091540e+04
   1.025985165871654e+00;    1.168449923621770e+21;    3.866699734138183e+20;    8.686367771540912e+01;    5.789279427158696e+01;    1.671894619941820e+21;    3.546628852296841e+20;    6.780384366220174e+01;    4.151553051251443e+01;    1.771060635197578e+04
   1.027803099548313e+00;    1.051340240869934e+21;    3.404359478544240e+20;    8.510019560349585e+01;    5.495962229674068e+01;    1.815582447942960e+21;    3.659583328429883e+20;    6.378481297236746e+01;    4.361287548550786e+01;    1.897453407712300e+04
   1.030045562841904e+00;    1.239177660809643e+21;    3.303514077851019e+20;    8.695747831081360e+01;    5.804923944695463e+01;    1.502400006094014e+21;    3.194202699368505e+20;    6.720835749977975e+01;    4.190315985442898e+01;    1.715156052026154e+04
   1.031332360571486e+00;    3.873154628650441e+20;    1.727245489557566e+20;    5.309064659701092e+01;    4.732025516168810e+01;    2.131735080217439e+21;    5.160251261617745e+20;    9.581236173481970e+01;    4.352515822873301e+01;    1.879528489669092e+04
   1.032896257948253e+00;    3.671938781571040e+20;    1.373313308897349e+20;    6.041445266759518e+01;    5.837376120893052e+01;    1.983895040791608e+21;    4.288429411089271e+20;    7.874295016688944e+01;    4.259652744602760e+01;    1.564214669313859e+04
   1.035508502329098e+00;    3.173584227294789e+20;    7.031398568489530e+19;    6.282543018151532e+01;    5.209455245648240e+01;    1.803420512351040e+21;    2.955549583074399e+20;    5.845025781373349e+01;    4.191427129103901e+01;    7.700339489866180e+03
   1.036863645140972e+00;    8.683961295854658e+20;    0.000000000000000e+00;    2.592665358177300e+01;    6.593698935568013e+01;    2.869025678886396e+21;    8.915573151112954e+20;    1.386890416499777e+02;    3.626076611535905e+01;    3.300851962926726e+04
   1.038182582914629e+00;    9.370444927164826e+19;    3.419094049736727e+19;    4.547423886222668e+01;    5.774813046424052e+01;    1.723846297853611e+21;    3.518666724405168e+20;    7.345026768739196e+01;    4.235513451380203e+01;    9.993618827244534e+03
   1.040832176095080e+00;    1.034401273544505e+20;    4.286931351315236e+19;    4.653511902410281e+01;    5.715623143563580e+01;    1.492578756997298e+21;    3.633579992418915e+20;    7.844259933607623e+01;    4.271118290799509e+01;    8.326051111995983e+03
   1.042680178702536e+00;    8.654258753964235e+19;    4.273963952126785e+19;    6.964703384900533e+01;    4.463674523539211e+01;    1.849977244909862e+21;    4.065775481187328e+20;    7.320013350785602e+01;    4.167152898384889e+01;    1.096301831898018e+04
   1.044044074328744e+00;    1.708021011301497e+19;    1.708021011301497e+19;    4.182544258665208e+01;    4.645912352129562e+01;    1.831654154390681e+21;    3.394803648133212e+20;    7.106586483345824e+01;    4.214855624811418e+01;    9.703471832921339e+03
   1.046299233410363e+00;    3.553262818408992e+19;    1.746148431413977e+19;    3.265453523880778e+01;    4.390982711379728e+01;    1.665440451703243e+21;    4.077722095299458e+20;    8.579797964487750e+01;    4.229892770830692e+01;    1.085404003182521e+04
   1.048734443945756e+00;    2.292016654887294e+19;    0.000000000000000e+00;    3.537624955039500e+01;    3.351818450258572e+01;    1.594601603551153e+21;    3.993900901483982e+20;    7.585268320862347e+01;    4.463117345450451e+01;    1.046226183660033e+04
